ebird_code,scientific_name,common_name,alpha
buwgoo1,Cyanochen cyanoptera,Blue-winged Goose,
egygoo,Alopochen aegyptiaca,Egyptian Goose,EGGO
origoo1,Oressochen jubatus,,
andgoo1,Oressochen melanopterus,,
uplgoo1,Chloephaga picta,Upland Goose,
kelgoo1,Chloephaga hybrida,Kelp Goose,
ashgoo1,Chloephaga poliocephala,Ashy-headed Goose,
ruhgoo1,Chloephaga rubidiceps,Ruddy-headed Goose,
radshe1,Radjah radjah,Radjah Shelduck,
comshe,Tadorna tadorna,Common Shelduck,COMS
rudshe,Tadorna ferruginea,Ruddy Shelduck,RUSH
soashe1,Tadorna cana,South African Shelduck,
ausshe1,Tadorna tadornoides,Australian Shelduck,
parshe1,Tadorna variegata,Paradise Shelduck,
pieduc1,Malacorhynchus membranaceus,Pink-eared Duck,
musduc,Cairina moschata,Muscovy Duck,MUDU
whwduc1,Asarcornis scutulata,White-winged Duck,
harduc1,Pteronetta hartlaubii,Hartlaub's Duck,
wooduc,Aix sponsa,Wood Duck,WODU
manduc,Aix galericulata,Mandarin Duck,
manduc1,Chenonetta jubata,Maned Duck,
afrpyg1,Nettapus auritus,African Pygmy Goose,
copgoo1,Nettapus coromandelianus,Cotton Pygmy Goose,
grnpyg1,Nettapus pulchellus,Green Pygmy Goose,
bratea1,Amazonetta brasiliensis,Brazilian Teal,
rintea1,Callonetta leucophrys,Ringed Teal,
creduc1,Lophonetta specularioides,Crested Duck,
speduc2,Speculanas specularis,Bronze-winged Duck,
baitea,Sibirionetta formosa,Baikal Teal,BATE
gargan,Spatula querquedula,Garganey,GARG
hottea1,Spatula hottentota,Blue-billed Teal,
puntea1,Spatula puna,Puna Teal,
siltea1,Spatula versicolor,Silver Teal,
redsho1,Spatula platalea,Red Shoveler,
cintea,Spatula cyanoptera,Cinnamon Teal,CITE
buwtea,Spatula discors,Blue-winged Teal,BWTE
capsho1,Spatula smithii,Cape Shoveler,
norsho,Spatula clypeata,Northern Shoveler,NSHO
gadwal,Mareca strepera,Gadwall,GADW
falduc,Mareca falcata,Falcated Duck,FADU
eurwig,Mareca penelope,Eurasian Wigeon,EUWI
chiwig1,Mareca sibilatrix,Chiloe Wigeon,
amewig,Mareca americana,American Wigeon,AMWI
