ebird_code,scientific_name,common_name,alpha
alppip1,Anthus gutturalis,Alpine Pipit,
alprob1,Petroica bivittata,Mountain Robin,
alpswi1,Apus melba,,
alptap1,Scytalopus alvarezlopezi,Tatama Tapaculo,
alpthr1,Zoothera mollissima,Alpine Thrush,
alsred1,Phoenicurus alaschanicus,Przevalski's Redstart,
altori,Icterus gularis,Altamira Oriole,ALOR
altsno1,Tetraogallus altaicus,Altai Snowcock,
altyel1,Geothlypis flavovelata,Altamira Yellowthroat,
amaant1,Myrmothera berlepschi,Amazonian Antpitta,
amaant2,Thamnophilus amazonicus,Amazonian Antshrike,
amabaw1,Dendrocolaptes certhia,Amazonian Barred Woodcreeper,
amahum1,Amazilis amazilia,Amazilia Hummingbird,
amakin1,Chloroceryle amazona,Amazon Kingfisher,
amapar1,Nannopsittaca dachilleae,Manu Parrotlet,
amapyo1,Glaucidium hardyi,Amazonian Pygmy Owl,
amasta1,Myrmotherula multostriata,Amazonian Streaked Antwren,
amasun2,Hedydipna pallidigaster,Amani Sunbird,
amatyr1,Inezia subflava,Amazonian Inezia,
amaumb1,Cephalopterus ornatus,Amazonian Umbrellabird,
amawoo1,Scolopax mira,Amami Woodcock,
ambduc,Anas rubripes,American Black Duck,ABDU
ambtyr1,Knipolegus poecilocercus,Amazonian Black Tyrant,
ambwhe1,Zosterops kuehni,Ambon White-eye,
ameavo,Recurvirostra americana,American Avocet,AMAV
amebit,Botaurus lentiginosus,American Bittern,AMBI
amecro,Corvus brachyrhynchos,American Crow,AMCR
amedip,Cinclus mexicanus,American Dipper,AMDI
amedov1,Phapitreron amethystinus,Amethyst Brown Dove,
amegfi,Spinus tristis,American Goldfinch,AMGO
amekes,Falco sparverius,American Kestrel,AMKE
ameoys,Haematopus palliatus,American Oystercatcher,AMOY
amepip,Anthus rubescens,American Pipit,AMPI
amered,Setophaga ruticilla,American Redstart,AMRE
amerob,Turdus migratorius,American Robin,AMRO
amesun2,Chalcomitra amethystina,Amethyst Sunbird,
amewig,Mareca americana,American Wigeon,AMWI
amewoo,Scolopax minor,American Woodcock,AMWO
amewoo1,Calliphlox amethystina,Amethyst Woodstar,
amgplo,Pluvialis dominica,American Golden Plover,AMGP
amhgul1,,,
ampkin1,Chloroceryle aenea,American Pygmy Kingfisher,
amptap1,Scytalopus whitneyi,Ampay Tapaculo,
amsduc1,Mareca marecula,Amsterdam Wigeon,
amsfly1,Sublegatus obscurior,Amazonian Scrub Flycatcher,
amthum1,Lampornis amethystinus,Amethyst-throated Mountaingem,
amtspa,Spizelloides arborea,American Tree Sparrow,ATSP
amtsun1,Heliangelus amethysticollis,Amethyst-throated Sunangel,
amtsun2,,,
amtsun4,,,
amufal1,Falco amurensis,Amur Falcon,
amupaf1,Terpsiphone incei,Amur Paradise Flycatcher,
amwpel,Pelecanus erythrorhynchos,American White Pelican,AWPE
anawax1,Estrilda poliopareia,Anambra Waxbill,
anbtyr1,Phylloscartes lanyoni,,
anbwar1,Nesillas longicaudata,,
ancant1,Herpsilochmus gentryi,Ancient Antwren,
