composite,scientific_name,ebird_code,common_name,alpha
Bostrychia carunculata_Wattled Ibis,Bostrychia carunculata,watibi1,Wattled Ibis,
Bostrychia hagedash_Hadada Ibis,Bostrychia hagedash,hadibi1,Hadada Ibis,
Botaurus lentiginosus_American Bittern,Botaurus lentiginosus,amebit,American Bittern,AMBI
Botaurus stellaris_Great Bittern,Botaurus stellaris,grebit1,Eurasian Bittern,
Brachygalba albogularis_White-throated Jacamar,Brachygalba albogularis,whtjac1,White-throated Jacamar,
Brachygalba lugubris_Brown Jacamar,Brachygalba lugubris,brojac2,Brown Jacamar,
Brachypodius eutilotus_Puff-backed Bulbul,Brachypodius eutilotus,,,
Brachypodius melanocephalos_Black-headed Bulbul,Brachypodius melanocephalos,,,
Brachypodius melanoleucos_Black-and-white Bulbul,Brachypodius melanoleucos,,,
Brachypodius priocephalus_Gray-headed Bulbul,Brachypodius priocephalus,,,
Brachypodius urostictus_Yellow-wattled Bulbul,Brachypodius urostictus,,,
Brachypteryx cruralis_Himalayan Shortwing,Brachypteryx cruralis,whbsho4,Himalayan Shortwing,
Brachypteryx goodfellowi_Taiwan Shortwing,Brachypteryx goodfellowi,whbsho6,Taiwan Shortwing,
Brachypteryx hyperythra_Rusty-bellied Shortwing,Brachypteryx hyperythra,rubsho1,Rusty-bellied Shortwing,
Brachypteryx leucophris_Lesser Shortwing,Brachypteryx leucophris,lessho1,Lesser Shortwing,
Brachypteryx montana_White-browed Shortwing,Brachypteryx montana,whbsho10,Javan Shortwing,
Brachyramphus marmoratus_Marbled Murrelet,Brachyramphus marmoratus,marmur,Marbled Murrelet,MAMU
Bradornis microrhynchus_African Gray Flycatcher,Bradornis microrhynchus,afgfly1,African Grey Flycatcher,
Bradypterus baboecala_Little Rush Warbler,Bradypterus baboecala,afbwar1,Little Rush Warbler,
Bradypterus barratti_Barratt's Warbler,Bradypterus barratti,afswar1,Barratt's Warbler,
Bradypterus brunneus_Brown Emutail,Bradypterus brunneus,bretai1,Brown Emutail,
Bradypterus carpalis_White-winged Swamp Warbler,Bradypterus carpalis,wwswar1,White-winged Swamp Warbler,
