composite,scientific_name,ebird_code,common_name,alpha
Melaniparus leucomelas_White-winged Black-Tit,Melaniparus leucomelas,whwblt3,White-winged Black Tit,
Melaniparus niger_Southern Black-Tit,Melaniparus niger,soublt1,Southern Black Tit,
Melaniparus rufiventris_Rufous-bellied Tit,Melaniparus rufiventris,rubtit3,Rufous-bellied Tit,
Melaniparus thruppi_Somali Tit,Melaniparus thruppi,somtit4,Acacia Tit,
Melanitta americana_Black Scoter,Melanitta americana,blksco2,Black Scoter,BLSC
Melanitta fusca_Velvet Scoter,Melanitta fusca,whwsco3,Velvet Scoter,VESC
Melanitta nigra_Common Scoter,Melanitta nigra,blksco1,Common Scoter,COSC
Melanitta perspicillata_Surf Scoter,Melanitta perspicillata,sursco,Surf Scoter,SUSC
Melanochlora sultanea_Sultan Tit,Melanochlora sultanea,sultit1,Sultan Tit,
Melanocorypha calandra_Calandra Lark,Melanocorypha calandra,callar1,Calandra Lark,
Melanocorypha maxima_Tibetan Lark,Melanocorypha maxima,tiblar1,Tibetan Lark,
Melanodera melanodera_White-bridled Finch,Melanodera melanodera,cawfin1,White-bridled Finch,
Melanodera xanthogramma_Yellow-bridled Finch,Melanodera xanthogramma,yebfin1,Yellow-bridled Finch,
Melanodryas cucullata_Hooded Robin,Melanodryas cucullata,hoorob1,Hooded Robin,
Melanodryas vittata_Dusky Robin,Melanodryas vittata,dusrob1,Dusky Robin,
Melanopareia elegans_Elegant Crescentchest,Melanopareia elegans,elecre1,Elegant Crescentchest,
Melanopareia maranonica_Marañon Crescentchest,Melanopareia maranonica,marcre1,Maranon Crescentchest,
Melanopareia maximiliani_Olive-crowned Crescentchest,Melanopareia maximiliani,olccre1,Olive-crowned Crescentchest,
Melanopareia torquata_Collared Crescentchest,Melanopareia torquata,colcre1,Collared Crescentchest,
Melanoptila glabrirostris_Black Catbird,Melanoptila glabrirostris,blacat1,Black Catbird,BLCA
Melanorectes nigrescens_Black Pitohui,Melanorectes nigrescens,blapit1,Black Pitohui,
Melanospiza bicolor_Black-faced Grassquit,Melanospiza bicolor,bkfgra,Black-faced Grassquit,BFGR
Melanotis caerulescens_Blue Mockingbird,Melanotis caerulescens,blumoc,Blue Mockingbird,BLMO
Melanotis hypoleucus_Blue-and-white Mockingbird,Melanotis hypoleucus,bawmoc1,Blue-and-white Mockingbird,BAWM
Meleagris gallopavo_Wild Turkey,Meleagris gallopavo,wiltur,Wild Turkey,WITU
Meleagris ocellata_Ocellated Turkey,Meleagris ocellata,ocetur1,Ocellated Turkey,OCTU
Meliarchus sclateri_Makira Honeyeater,Meliarchus sclateri,sacmel1,Makira Honeyeater,
Melidectes belfordi_Belford's Melidectes,Melidectes belfordi,belmel1,Belford's Melidectes,
Melidectes rufocrissalis_Yellow-browed Melidectes,Melidectes rufocrissalis,yebmel1,Yellow-browed Melidectes,
Melidora macrorrhina_Hook-billed Kingfisher,Melidora macrorrhina,hobkin1,Hook-billed Kingfisher,
Meliphaga lewinii_Lewin's Honeyeater,Meliphaga lewinii,lewhon1,Lewin's Honeyeater,
Meliphaga notata_Yellow-spotted Honeyeater,Meliphaga notata,yeshon1,Yellow-spotted Honeyeater,
Melithreptus affinis_Black-headed Honeyeater,Melithreptus affinis,blhhon1,Black-headed Honeyeater,
Melithreptus albogularis_White-throated Honeyeater,Melithreptus albogularis,whthon1,White-throated Honeyeater,
Melithreptus brevirostris_Brown-headed Honeyeater,Melithreptus brevirostris,brhhon1,Brown-headed Honeyeater,
Melithreptus chloropsis_Gilbert's Honeyeater,Melithreptus chloropsis,whnhon3,Gilbert's Honeyeater,
Melithreptus gularis_Black-chinned Honeyeater,Melithreptus gularis,blchon2,Black-chinned Honeyeater,
Melithreptus lunatus_White-naped Honeyeater,Melithreptus lunatus,whnhon2,White-naped Honeyeater,
Melithreptus validirostris_Strong-billed Honeyeater,Melithreptus validirostris,stbhon2,Strong-billed Honeyeater,
Mellisuga helenae_Bee Hummingbird,Mellisuga helenae,beehum1,Bee Hummingbird,BEEH
Mellisuga minima_Vervain Hummingbird,Mellisuga minima,verhum1,Vervain Hummingbird,VEHU
Melocichla mentalis_Moustached Grass-Warbler,Melocichla mentalis,mogwar1,Moustached Grass Warbler,
Melopsittacus undulatus_Budgerigar,Melopsittacus undulatus,budger,Budgerigar,
Melopyrrha portoricensis_Puerto Rican Bullfinch,Melopyrrha portoricensis,purbul1,Puerto Rican Bullfinch,PRBU
Melopyrrha violacea_Greater Antillean Bullfinch,Melopyrrha violacea,grabul1,Greater Antillean Bullfinch,GABU
Melospiza georgiana_Swamp Sparrow,Melospiza georgiana,swaspa,Swamp Sparrow,SWSP
Melospiza lincolnii_Lincoln's Sparrow,Melospiza lincolnii,linspa,Lincoln's Sparrow,LISP
Melospiza melodia_Song Sparrow,Melospiza melodia,sonspa,Song Sparrow,SOSP
Melozone aberti_Abert's Towhee,Melozone aberti,abetow,Abert's Towhee,ABTO
Melozone albicollis_White-throated Towhee,Melozone albicollis,whttow1,White-throated Towhee,WTTO
Melozone biarcuata_White-faced Ground-Sparrow,Melozone biarcuata,pregrs1,Prevost's Ground Sparrow,WFGS
Melozone cabanisi_Cabanis's Ground-Sparrow,Melozone cabanisi,pregrs2,Cabanis's Ground Sparrow,CAGS
Melozone crissalis_California Towhee,Melozone crissalis,caltow,California Towhee,CALT
Melozone fusca_Canyon Towhee,Melozone fusca,cantow,Canyon Towhee,CANT
Melozone kieneri_Rusty-crowned Ground-Sparrow,Melozone kieneri,rcgspa1,Rusty-crowned Ground Sparrow,RCGS
Melozone leucotis_White-eared Ground-Sparrow,Melozone leucotis,wegspa1,White-eared Ground Sparrow,WEGS
Menura alberti_Albert's Lyrebird,Menura alberti,alblyr1,Albert's Lyrebird,
Menura novaehollandiae_Superb Lyrebird,Menura novaehollandiae,suplyr1,Superb Lyrebird,
Mergellus albellus_Smew,Mergellus albellus,smew,Smew,SMEW
Mergus merganser_Common Merganser,Mergus merganser,commer,Common Merganser,COME
Mergus serrator_Red-breasted Merganser,Mergus serrator,rebmer,Red-breasted Merganser,RBME
Merops albicollis_White-throated Bee-eater,Merops albicollis,wtbeat1,White-throated Bee-eater,
Merops apiaster_European Bee-eater,Merops apiaster,eubeat1,European Bee-eater,
Merops bullockoides_White-fronted Bee-eater,Merops bullockoides,wfbeat1,White-fronted Bee-eater,
Merops bulocki_Red-throated Bee-eater,Merops bulocki,rtbeat1,Red-throated Bee-eater,
Merops hirundineus_Swallow-tailed Bee-eater,Merops hirundineus,stbeat1,Swallow-tailed Bee-eater,
Merops leschenaulti_Chestnut-headed Bee-eater,Merops leschenaulti,chbeat1,Chestnut-headed Bee-eater,
Merops oreobates_Cinnamon-chested Bee-eater,Merops oreobates,ccbeat1,Cinnamon-chested Bee-eater,
Merops orientalis_Green Bee-eater,Merops orientalis,grnbee3,Asian Green Bee-eater,
Merops ornatus_Rainbow Bee-eater,Merops ornatus,rabeat1,Rainbow Bee-eater,
Merops persicus_Blue-cheeked Bee-eater,Merops persicus,bcbeat1,Blue-cheeked Bee-eater,
Merops philippinus_Blue-tailed Bee-eater,Merops philippinus,btbeat1,Blue-tailed Bee-eater,
Merops pusillus_Little Bee-eater,Merops pusillus,libeat1,Little Bee-eater,
Merops superciliosus_Madagascar Bee-eater,Merops superciliosus,mabeat1,Olive Bee-eater,
Merops variegatus_Blue-breasted Bee-eater,Merops variegatus,bbbeat2,Blue-breasted Bee-eater,
Merops viridis_Blue-throated Bee-eater,Merops viridis,btbeat2,Blue-throated Bee-eater,
Merulaxis ater_Slaty Bristlefront,Merulaxis ater,slabri1,Slaty Bristlefront,
Mesembrinibis cayennensis_Green Ibis,Mesembrinibis cayennensis,greibi1,Green Ibis,GRIB
Mesitornis unicolor_Brown Mesite,Mesitornis unicolor,bromes1,Brown Mesite,
Mesitornis variegatus_White-breasted Mesite,Mesitornis variegatus,whbmes2,White-breasted Mesite,
Metallura tyrianthina_Tyrian Metaltail,Metallura tyrianthina,tyrmet1,Tyrian Metaltail,
Metallura williami_Viridian Metaltail,Metallura williami,virmet1,Viridian Metaltail,
Metopidius indicus_Bronze-winged Jacana,Metopidius indicus,brwjac1,Bronze-winged Jacana,
Metopothrix aurantiaca_Orange-fronted Plushcrown,Metopothrix aurantiaca,orfplu2,Orange-fronted Plushcrown,
Metriopelia melanoptera_Black-winged Ground Dove,Metriopelia melanoptera,bwgdov1,Black-winged Ground Dove,
Micrastur buckleyi_Buckley's Forest-Falcon,Micrastur buckleyi,buffal1,Buckley's Forest Falcon,
Micrastur gilvicollis_Lined Forest-Falcon,Micrastur gilvicollis,liffal1,Lined Forest Falcon,
Micrastur mintoni_Cryptic Forest-Falcon,Micrastur mintoni,cryfof1,Cryptic Forest Falcon,
Micrastur mirandollei_Slaty-backed Forest-Falcon,Micrastur mirandollei,sbffal1,Slaty-backed Forest Falcon,SBFF
Micrastur ruficollis_Barred Forest-Falcon,Micrastur ruficollis,baffal1,Barred Forest Falcon,BAFF
Micrastur semitorquatus_Collared Forest-Falcon,Micrastur semitorquatus,coffal1,Collared Forest Falcon,COFF
Micrathene whitneyi_Elf Owl,Micrathene whitneyi,elfowl,Elf Owl,ELOW
Microbates cinereiventris_Tawny-faced Gnatwren,Microbates cinereiventris,tafgna1,Tawny-faced Gnatwren,TFGN
Microbates collaris_Collared Gnatwren,Microbates collaris,colgna1,Collared Gnatwren,
Microcarbo niger_Little Cormorant,Microcarbo niger,litcor1,Little Cormorant,
Microcentrum rhombifolium_Greater Angle-wing,Microcentrum rhombifolium,,,
Microcerculus bambla_Wing-banded Wren,Microcerculus bambla,wibwre1,Wing-banded Wren,
Microcerculus marginatus_Scaly-breasted Wren,Microcerculus marginatus,scbwre1,Southern Nightingale-Wren,SCBW
Microcerculus philomela_Nightingale Wren,Microcerculus philomela,nigwre1,Northern Nightingale-Wren,NIWR
Microcerculus ustulatus_Flutist Wren,Microcerculus ustulatus,fluwre1,Flutist Wren,
Microeca fascinans_Jacky-winter,Microeca fascinans,jacwin1,Jacky Winter,
Microeca flavigaster_Lemon-bellied Flycatcher,Microeca flavigaster,lebfly3,Lemon-bellied Flyrobin,
Microhierax fringillarius_Black-thighed Falconet,Microhierax fringillarius,bltfal1,Black-thighed Falconet,
Micromonacha lanceolata_Lanceolated Monklet,Micromonacha lanceolata,lanmon1,Lanceolated Monklet,LAMO
Micronisus gabar_Gabar Goshawk,Micronisus gabar,gabgos2,Gabar Goshawk,
Micropsitta finschii_Finsch's Pygmy-Parrot,Micropsitta finschii,fippar1,Finsch's Pygmy Parrot,
Micropternus brachyurus_Rufous Woodpecker,Micropternus brachyurus,rufwoo2,Rufous Woodpecker,
Micropygia schomburgkii_Ocellated Crake,Micropygia schomburgkii,,,
Microrhopias quixensis_Dot-winged Antwren,Microrhopias quixensis,dowant1,Dot-winged Antwren,DWAN
Microspingus cabanisi_Gray-throated Warbling Finch,Microspingus cabanisi,gytwaf1,Grey-throated Warbling Finch,
Microspingus erythrophrys_Rusty-browed Warbling Finch,Microspingus erythrophrys,rbwfin2,Rusty-browed Warbling Finch,
Microspingus lateralis_Buff-throated Warbling Finch,Microspingus lateralis,rrwfin1,Buff-throated Warbling Finch,
Microspingus melanoleucus_Black-capped Warbling Finch,Microspingus melanoleucus,bcwfin2,Black-capped Warbling Finch,
Microspingus torquatus_Ringed Warbling Finch,Microspingus torquatus,riwfin1,Ringed Warbling Finch,
Microxenops milleri_Rufous-tailed Xenops,Microxenops milleri,rutxen1,Rufous-tailed Xenops,
Milvago chimachima_Yellow-headed Caracara,Milvago chimachima,,,
Milvago chimango_Chimango Caracara,Milvago chimango,,,
Milvus migrans_Black Kite,Milvus migrans,blakit1,Black Kite,BLAK
Milvus milvus_Red Kite,Milvus milvus,redkit1,Red Kite,
Mimus dorsalis_Brown-backed Mockingbird,Mimus dorsalis,brbmoc1,Brown-backed Mockingbird,
Mimus gilvus_Tropical Mockingbird,Mimus gilvus,tromoc,Tropical Mockingbird,TRMO
Mimus gundlachii_Bahama Mockingbird,Mimus gundlachii,bahmoc,Bahama Mockingbird,BAMO
Mimus longicaudatus_Long-tailed Mockingbird,Mimus longicaudatus,lotmoc1,Long-tailed Mockingbird,
Mimus patagonicus_Patagonian Mockingbird,Mimus patagonicus,patmoc1,Patagonian Mockingbird,
Mimus polyglottos_Northern Mockingbird,Mimus polyglottos,normoc,Northern Mockingbird,NOMO
Mimus saturninus_Chalk-browed Mockingbird,Mimus saturninus,chbmoc1,Chalk-browed Mockingbird,
Mimus thenca_Chilean Mockingbird,Mimus thenca,chimoc1,Chilean Mockingbird,
Mimus triurus_White-banded Mockingbird,Mimus triurus,whbmoc1,White-banded Mockingbird,
Minla ignotincta_Red-tailed Minla,Minla ignotincta,retmin1,Red-tailed Minla,
Mino dumontii_Yellow-faced Myna,Mino dumontii,yefmyn1,Yellow-faced Myna,
Mino kreffti_Long-tailed Myna,Mino kreffti,lotmyn1,Long-tailed Myna,
Miogryllus saussurei_Miogryllus saussurei,Miogryllus saussurei,,,
Mionectes macconnelli_McConnell's Flycatcher,Mionectes macconnelli,mccfly1,McConnell's Flycatcher,
Mionectes oleagineus_Ochre-bellied Flycatcher,Mionectes oleagineus,ocbfly1,Ochre-bellied Flycatcher,OBFL
Mionectes olivaceus_Olive-striped Flycatcher,Mionectes olivaceus,olsfly2,Olive-striped Flycatcher,OSTF
Mionectes rufiventris_Gray-hooded Flycatcher,Mionectes rufiventris,gyhfly1,Grey-hooded Flycatcher,
Mionectes striaticollis_Streak-necked Flycatcher,Mionectes striaticollis,stnfly1,Streak-necked Flycatcher,
Mirafra affinis_Jerdon's Bushlark,Mirafra affinis,,,
Mirafra africana_Rufous-naped Lark,Mirafra africana,,,
Mirafra apiata_Cape Clapper Lark,Mirafra apiata,,,
Mirafra assamica_Bengal Bushlark,Mirafra assamica,,,
Mirafra cantillans_Singing Bushlark,Mirafra cantillans,,,
Mirafra cheniana_Latakoo Lark,Mirafra cheniana,latlar1,Melodious Lark,
Mirafra erythrocephala_Indochinese Bushlark,Mirafra erythrocephala,,,
Mirafra erythroptera_Indian Bushlark,Mirafra erythroptera,,,
Mirafra fasciolata_Eastern Clapper Lark,Mirafra fasciolata,,,
Mirafra javanica_Australasian Bushlark,Mirafra javanica,sinbus6,Singing Bush Lark,
Mirafra passerina_Monotonous Lark,Mirafra passerina,monlar2,Monotonous Lark,
Mirafra rufocinnamomea_Flappet Lark,Mirafra rufocinnamomea,,,
Mitrephanes phaeocercus_Tufted Flycatcher,Mitrephanes phaeocercus,tuffly,Northern Tufted Flycatcher,TUFL
Mitrospingus cassinii_Dusky-faced Tanager,Mitrospingus cassinii,duftan1,Dusky-faced Tanager,DFTA
Mitrospingus oleagineus_Olive-backed Tanager,Mitrospingus oleagineus,olbtan1,Olive-backed Tanager,
Mitu salvini_Salvin's Curassow,Mitu salvini,salcur1,Salvin's Curassow,
Mitu tomentosum_Crestless Curassow,Mitu tomentosum,crecur2,Crestless Curassow,
Mitu tuberosum_Razor-billed Curassow,Mitu tuberosum,rabcur2,Razor-billed Curassow,
Mixornis bornensis_Bold-striped Tit-Babbler,Mixornis bornensis,bostib1,Bold-striped Tit-Babbler,
Mixornis flavicollis_Gray-cheeked Tit-Babbler,Mixornis flavicollis,gyctib1,Grey-cheeked Tit-Babbler,
Mixornis gularis_Pin-striped Tit-Babbler,Mixornis gularis,sttbab1,Pin-striped Tit-Babbler,
Mixornis kelleyi_Gray-faced Tit-Babbler,Mixornis kelleyi,gyftib1,Grey-faced Tit-Babbler,
Mniotilta varia_Black-and-white Warbler,Mniotilta varia,bawwar,Black-and-white Warbler,BAWW
Modulatrix stictigula_Spot-throat,Modulatrix stictigula,spothr1,Spot-throat,
Mohoua albicilla_Whitehead,Mohoua albicilla,whiteh1,Whitehead,
Mohoua novaeseelandiae_Pipipi,Mohoua novaeseelandiae,pipipi1,Pipipi,
Mohoua ochrocephala_Yellowhead,Mohoua ochrocephala,yellow3,Yellowhead,
Molothrus aeneus_Bronzed Cowbird,Molothrus aeneus,brocow,Bronzed Cowbird,BROC
Molothrus ater_Brown-headed Cowbird,Molothrus ater,bnhcow,Brown-headed Cowbird,BHCO
Molothrus bonariensis_Shiny Cowbird,Molothrus bonariensis,shicow,Shiny Cowbird,SHCO
Molothrus oryzivorus_Giant Cowbird,Molothrus oryzivorus,giacow,Giant Cowbird,GICO
Molothrus rufoaxillaris_Screaming Cowbird,Molothrus rufoaxillaris,scrcow1,Screaming Cowbird,
Momotus aequatorialis_Andean Motmot,Momotus aequatorialis,higmot1,Andean Motmot,
Momotus coeruliceps_Blue-capped Motmot,Momotus coeruliceps,bucmot1,Blue-capped Motmot,BCMO
Momotus lessonii_Lesson's Motmot,Momotus lessonii,bucmot2,Lesson's Motmot,LEMO
Momotus mexicanus_Russet-crowned Motmot,Momotus mexicanus,rucmot1,Russet-crowned Motmot,RCMO
Momotus momota_Amazonian Motmot,Momotus momota,bucmot4,Amazonian Motmot,
Momotus subrufescens_Whooping Motmot,Momotus subrufescens,bucmot3,Whooping Motmot,WHMO
Monarcha castaneiventris_Chestnut-bellied Monarch,Monarcha castaneiventris,chbmon1,Chestnut-bellied Monarch,
Monarcha frater_Black-winged Monarch,Monarcha frater,blwmon1,Black-winged Monarch,
Monarcha melanopsis_Black-faced Monarch,Monarcha melanopsis,blfmon1,Black-faced Monarch,
Monarcha richardsii_White-capped Monarch,Monarcha richardsii,whcmon1,White-capped Monarch,
Monasa atra_Black Nunbird,Monasa atra,blanun1,Black Nunbird,
Monasa flavirostris_Yellow-billed Nunbird,Monasa flavirostris,yebnun1,Yellow-billed Nunbird,
Monasa morphoeus_White-fronted Nunbird,Monasa morphoeus,whfnun1,White-fronted Nunbird,WFNU
Monasa nigrifrons_Black-fronted Nunbird,Monasa nigrifrons,blfnun1,Black-fronted Nunbird,
Montecincla fairbanki_Palani Laughingthrush,Montecincla fairbanki,kerlau2,Palani Laughingthrush,
Monticola cinclorhyncha_Blue-capped Rock-Thrush,Monticola cinclorhyncha,bcrthr1,Blue-capped Rock Thrush,
Monticola gularis_White-throated Rock-Thrush,Monticola gularis,wtrthr1,White-throated Rock Thrush,
Monticola rufiventris_Chestnut-bellied Rock-Thrush,Monticola rufiventris,cbrthr1,Chestnut-bellied Rock Thrush,
Monticola rupestris_Cape Rock-Thrush,Monticola rupestris,carthr1,Cape Rock Thrush,
Monticola saxatilis_Rufous-tailed Rock-Thrush,Monticola saxatilis,rtrthr1,Common Rock Thrush,RTRT
Monticola sharpei_Forest Rock-Thrush,Monticola sharpei,forrot2,Forest Rock Thrush,
Monticola solitarius_Blue Rock-Thrush,Monticola solitarius,burthr,Blue Rock Thrush,
Montifringilla blanfordi_Blanford's Snowfinch,Montifringilla blanfordi,,,
Montifringilla nivalis_White-winged Snowfinch,Montifringilla nivalis,whwsno1,White-winged Snowfinch,
Montifringilla taczanowskii_White-rumped Snowfinch,Montifringilla taczanowskii,,,
Morococcyx erythropygus_Lesser Ground-Cuckoo,Morococcyx erythropygus,legcuc1,Lesser Ground Cuckoo,LEGC
Morphnarchus princeps_Barred Hawk,Morphnarchus princeps,barhaw1,Barred Hawk,BAHA
Morphnus guianensis_Crested Eagle,Morphnus guianensis,creeag1,Crested Eagle,CREA
Morus bassanus_Northern Gannet,Morus bassanus,norgan,Northern Gannet,NOGA
Motacilla aguimp_African Pied Wagtail,Motacilla aguimp,afpwag1,African Pied Wagtail,
Motacilla alba_White Wagtail,Motacilla alba,whiwag,White Wagtail,WHWA
Motacilla capensis_Cape Wagtail,Motacilla capensis,capwag1,Cape Wagtail,
Motacilla cinerea_Gray Wagtail,Motacilla cinerea,grywag,Grey Wagtail,GRAW
Motacilla citreola_Citrine Wagtail,Motacilla citreola,citwag,Citrine Wagtail,CIWA
Motacilla clara_Mountain Wagtail,Motacilla clara,mouwag1,Mountain Wagtail,
Motacilla flava_Western Yellow Wagtail,Motacilla flava,eaywag1,Western Yellow Wagtail,
Motacilla flaviventris_Madagascar Wagtail,Motacilla flaviventris,madwag1,Madagascar Wagtail,
Motacilla grandis_Japanese Wagtail,Motacilla grandis,japwag1,Japanese Wagtail,
Motacilla maderaspatensis_White-browed Wagtail,Motacilla maderaspatensis,whbwag1,White-browed Wagtail,
Motacilla tschutschensis_Eastern Yellow Wagtail,Motacilla tschutschensis,eaywag,Eastern Yellow Wagtail,EYWA
Mulleripicus fulvus_Ashy Woodpecker,Mulleripicus fulvus,ashwoo1,Ashy Woodpecker,
Mulleripicus pulverulentus_Great Slaty Woodpecker,Mulleripicus pulverulentus,grswoo1,Great Slaty Woodpecker,
Muscicapa adusta_African Dusky Flycatcher,Muscicapa adusta,afdfly1,African Dusky Flycatcher,
Muscicapa aquatica_Swamp Flycatcher,Muscicapa aquatica,swafly3,Swamp Flycatcher,
Muscicapa dauurica_Asian Brown Flycatcher,Muscicapa dauurica,asbfly,Asian Brown Flycatcher,ABFL
Muscicapa ferruginea_Ferruginous Flycatcher,Muscicapa ferruginea,ferfly1,Ferruginous Flycatcher,
Muscicapa griseisticta_Gray-streaked Flycatcher,Muscicapa griseisticta,gysfly1,Grey-streaked Flycatcher,GSFL
Muscicapa muttui_Brown-breasted Flycatcher,Muscicapa muttui,brbfly2,Brown-breasted Flycatcher,
Muscicapa sibirica_Dark-sided Flycatcher,Muscicapa sibirica,dasfly,Dark-sided Flycatcher,DSFL
Muscicapa striata_Spotted Flycatcher,Muscicapa striata,spofly1,Spotted Flycatcher,SPFL
Muscicapa williamsoni_Brown-streaked Flycatcher,Muscicapa williamsoni,bnsfly1,Brown-streaked Flycatcher,
Muscigralla brevicauda_Short-tailed Field Tyrant,Muscigralla brevicauda,stftyr1,Short-tailed Field Tyrant,
Muscipipra vetula_Shear-tailed Gray Tyrant,Muscipipra vetula,shtgrt1,Shear-tailed Grey Tyrant,
Muscisaxicola albilora_White-browed Ground-Tyrant,Muscisaxicola albilora,wbgtyr1,White-browed Ground Tyrant,
Muscisaxicola maculirostris_Spot-billed Ground-Tyrant,Muscisaxicola maculirostris,sbgtyr1,Spot-billed Ground Tyrant,
Musophaga rossae_Ross's Turaco,Musophaga rossae,,,
Mustelirallus albicollis_Ash-throated Crake,Mustelirallus albicollis,astcra1,Ash-throated Crake,
Mustelirallus erythrops_Paint-billed Crake,Mustelirallus erythrops,pabcra,Paint-billed Crake,PBCR
Myadestes coloratus_Varied Solitaire,Myadestes coloratus,varsol1,Varied Solitaire,VASO
Myadestes elisabeth_Cuban Solitaire,Myadestes elisabeth,cubsol1,Cuban Solitaire,CUSO
Myadestes genibarbis_Rufous-throated Solitaire,Myadestes genibarbis,rutsol1,Rufous-throated Solitaire,RTSO
Myadestes melanops_Black-faced Solitaire,Myadestes melanops,blfsol1,Black-faced Solitaire,BFSO
Myadestes obscurus_Omao,Myadestes obscurus,omao,Omao,OMAO
Myadestes occidentalis_Brown-backed Solitaire,Myadestes occidentalis,brbsol1,Brown-backed Solitaire,BBSO
Myadestes palmeri_Puaiohi,Myadestes palmeri,puaioh,Puaiohi,PUAI
Myadestes ralloides_Andean Solitaire,Myadestes ralloides,andsol1,Andean Solitaire,
Myadestes townsendi_Townsend's Solitaire,Myadestes townsendi,towsol,Townsend's Solitaire,TOSO
Myadestes unicolor_Slate-colored Solitaire,Myadestes unicolor,slcsol1,Slate-colored Solitaire,SCSO
Mycerobas affinis_Collared Grosbeak,Mycerobas affinis,colgro1,Collared Grosbeak,
Mycerobas carnipes_White-winged Grosbeak,Mycerobas carnipes,whwgro1,White-winged Grosbeak,
Mycerobas icterioides_Black-and-yellow Grosbeak,Mycerobas icterioides,baygro1,Black-and-yellow Grosbeak,
Mycteria americana_Wood Stork,Mycteria americana,woosto,Wood Stork,WOST
Mycteria leucocephala_Painted Stork,Mycteria leucocephala,paisto1,Painted Stork,
Myiagra alecto_Shining Flycatcher,Myiagra alecto,shifly1,Shining Flycatcher,
Myiagra caledonica_Melanesian Flycatcher,Myiagra caledonica,melfly1,Melanesian Flycatcher,
Myiagra cyanoleuca_Satin Flycatcher,Myiagra cyanoleuca,satfly1,Satin Flycatcher,
Myiagra ferrocyanea_Steel-blue Flycatcher,Myiagra ferrocyanea,stbfly1,Steel-blue Flycatcher,
Myiagra galeata_Moluccan Flycatcher,Myiagra galeata,molfly1,Moluccan Flycatcher,
Myiagra inquieta_Restless Flycatcher,Myiagra inquieta,resfly1,Restless Flycatcher,
Myiagra nana_Paperbark Flycatcher,Myiagra nana,papfly1,Paperbark Flycatcher,
Myiagra rubecula_Leaden Flycatcher,Myiagra rubecula,leafly2,Leaden Flycatcher,
Myiagra ruficollis_Broad-billed Flycatcher,Myiagra ruficollis,brbfly1,Broad-billed Flycatcher,
Myiagra vanikorensis_Vanikoro Flycatcher,Myiagra vanikorensis,vanfly1,Vanikoro Flycatcher,
Myiarchus antillarum_Puerto Rican Flycatcher,Myiarchus antillarum,purfly1,Puerto Rican Flycatcher,PRFL
Myiarchus apicalis_Apical Flycatcher,Myiarchus apicalis,apifly1,Apical Flycatcher,
Myiarchus barbirostris_Sad Flycatcher,Myiarchus barbirostris,sadfly1,Sad Flycatcher,SAFL
Myiarchus cephalotes_Pale-edged Flycatcher,Myiarchus cephalotes,paefly1,Pale-edged Flycatcher,
Myiarchus cinerascens_Ash-throated Flycatcher,Myiarchus cinerascens,astfly,Ash-throated Flycatcher,ATFL
Myiarchus crinitus_Great Crested Flycatcher,Myiarchus crinitus,grcfly,Great Crested Flycatcher,GCFL
Myiarchus ferox_Short-crested Flycatcher,Myiarchus ferox,shcfly1,Short-crested Flycatcher,
Myiarchus nuttingi_Nutting's Flycatcher,Myiarchus nuttingi,nutfly,Nutting's Flycatcher,NUFL
Myiarchus panamensis_Panama Flycatcher,Myiarchus panamensis,panfly1,Panama Flycatcher,PAFL
Myiarchus phaeocephalus_Sooty-crowned Flycatcher,Myiarchus phaeocephalus,socfly2,Sooty-crowned Flycatcher,
Myiarchus sagrae_La Sagra's Flycatcher,Myiarchus sagrae,lasfly,La Sagra's Flycatcher,LSFL
Myiarchus stolidus_Stolid Flycatcher,Myiarchus stolidus,stofly1,Stolid Flycatcher,STOF
Myiarchus swainsoni_Swainson's Flycatcher,Myiarchus swainsoni,swafly1,Swainson's Flycatcher,
Myiarchus tuberculifer_Dusky-capped Flycatcher,Myiarchus tuberculifer,ducfly,Dusky-capped Flycatcher,DCFL
Myiarchus tyrannulus_Brown-crested Flycatcher,Myiarchus tyrannulus,bncfly,Brown-crested Flycatcher,BCFL
Myiarchus venezuelensis_Venezuelan Flycatcher,Myiarchus venezuelensis,venfly1,Venezuelan Flycatcher,
Myiarchus yucatanensis_Yucatan Flycatcher,Myiarchus yucatanensis,yucfly1,Yucatan Flycatcher,YUFL
Myiobius atricaudus_Black-tailed Flycatcher,Myiobius atricaudus,bltfly1,Black-tailed Myiobius,BTFL
Myiobius barbatus_Whiskered Flycatcher,Myiobius barbatus,whifly1,Whiskered Myiobius,
Myiobius sulphureipygius_Sulphur-rumped Flycatcher,Myiobius sulphureipygius,surfly1,Sulphur-rumped Myiobius,SRFL
Myioborus albifrons_White-fronted Redstart,Myioborus albifrons,whfred2,White-fronted Whitestart,
Myioborus brunniceps_Brown-capped Redstart,Myioborus brunniceps,brcred1,Brown-capped Whitestart,
Myioborus castaneocapilla_Tepui Redstart,Myioborus castaneocapilla,tepred1,Tepui Whitestart,
Myioborus flavivertex_Yellow-crowned Redstart,Myioborus flavivertex,yecred1,Yellow-crowned Whitestart,
Myioborus melanocephalus_Spectacled Redstart,Myioborus melanocephalus,spered1,Spectacled Whitestart,
Myioborus miniatus_Slate-throated Redstart,Myioborus miniatus,sltred,Slate-throated Whitestart,STRE
Myioborus ornatus_Golden-fronted Redstart,Myioborus ornatus,gofred1,Golden-fronted Whitestart,
