common_name,scientific_name,ebird_code,alpha
Ring-necked Pheasant,,,
Rock Pigeon,,,
Rock Ptarmigan,Lagopus muta,rocpta1,ROPT
Rock Wren,Salpinctes obsoletus,rocwre,ROWR
Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro,RBGR
Rough-legged Hawk,,,
Ruby-crowned Kinglet,Corthylio calendula,ruckin,RCKI
Ruby-throated Hummingbird,Archilochus colubris,rthhum,RTHU
Ruddy Duck,Oxyura jamaicensis,rudduc,RUDU
Ruddy Turnstone,Arenaria interpres,rudtur,RUTU
Ruffed Grouse,Bonasa umbellus,rufgro,RUGR
Rufous Hummingbird,Selasphorus rufus,rufhum,RUHU
Rusty Blackbird,Euphagus carolinus,rusbla,RUBL
Sanderling,Calidris alba,sander,SAND
Sandhill Crane,Antigone canadensis,sancra,SACR
Savannah Sparrow,Passerculus sandwichensis,savspa,SAVS
Say's Phoebe,Sayornis saya,saypho,SAPH
Scarlet Tanager,Piranga olivacea,scatan,SCTA
Sedge Wren,Cistothorus stellaris,sedwre1,SEWR
Semipalmated Plover,Charadrius semipalmatus,semplo,SEPL
Semipalmated Sandpiper,Calidris pusilla,semsan,SESA
Sharp-shinned Hawk,Accipiter striatus,shshaw,SSHA
Sharp-tailed Grouse,Tympanuchus phasianellus,shtgro,STGR
Short-billed Dowitcher,Limnodromus griseus,shbdow,SBDO
Short-billed Gull,Larus brachyrhynchus,mewgul2,SBIG
Short-eared Owl,Asio flammeus,sheowl,SEOW
Snow Bunting,Plectrophenax nivalis,snobun,SNBU
Snow Goose,Anser caerulescens,snogoo,SNGO
Solitary Sandpiper,Tringa solitaria,solsan,SOSA
Song Sparrow,Melospiza melodia,sonspa,SOSP
Sora,Porzana carolina,sora,SORA
Spotted Sandpiper,Actitis macularius,sposan,SPSA
Spotted Towhee,Pipilo maculatus,spotow,SPTO
Sprague's Pipit,Anthus spragueii,sprpip,SPPI
Spruce Grouse,Canachites canadensis,sprgro,SPGR
Steller's Jay,Cyanocitta stelleri,stejay,STJA
Summer Tanager,Piranga rubra,sumtan,SUTA
Swainson's Hawk,Buteo swainsoni,swahaw,SWHA
Swainson's Thrush,Catharus ustulatus,swathr,SWTH
Swamp Sparrow,Melospiza georgiana,swaspa,SWSP
Tennessee Warbler,Leiothlypis peregrina,tenwar,TEWA
Thick-billed Longspur,Rhynchophanes mccownii,mcclon,TBLO
Townsend's Solitaire,Myadestes townsendi,towsol,TOSO
Townsend's Warbler,Setophaga townsendi,towwar,TOWA
Tree Swallow,Tachycineta bicolor,treswa,TRES
Trumpeter Swan,Cygnus buccinator,truswa,TRUS
Tufted Titmouse,Baeolophus bicolor,tuftit,TUTI
Tundra Swan,Cygnus columbianus,tunswa,TUSW
Upland Sandpiper,Bartramia longicauda,uplsan,UPSA
Varied Thrush,Ixoreus naevius,varthr,VATH
Vaux's Swift,Chaetura vauxi,vauswi,VASW
Veery,Catharus fuscescens,veery,VEER
Vesper Sparrow,Pooecetes gramineus,vesspa,VESP
Violet-green Swallow,Tachycineta thalassina,vigswa,VGSW
Virginia Rail,Rallus limicola,virrai,VIRA
Warbling Vireo,Vireo gilvus,warvir,WAVI
Western Flycatcher,Empidonax difficilis,wesfly,WEFL
Western Grebe,Aechmophorus occidentalis,wesgre,WEGR
Western Kingbird,Tyrannus verticalis,weskin,WEKI
Western Meadowlark,Sturnella neglecta,wesmea,WEME
Western Tanager,Piranga ludoviciana,westan,WETA
Western Wood-Pewee,Contopus sordidulus,wewpew,WEWP
Whimbrel,,,
White-breasted Nuthatch,Sitta carolinensis,whbnut,WBNU
White-crowned Sparrow,Zonotrichia leucophrys,whcspa,WCSP
White-eyed Vireo,Vireo griseus,whevir,WEVI
White-rumped Sandpiper,Calidris fuscicollis,whrsan,WRSA
White-throated Sparrow,Zonotrichia albicollis,whtspa,WTSP
White-winged Crossbill,,,
Wild Turkey,Meleagris gallopavo,wiltur,WITU
Willet,Tringa semipalmata,willet1,WILL
Willow Flycatcher,Empidonax traillii,wilfly,WIFL
Willow Ptarmigan,Lagopus lagopus,wilpta,WIPT
Wilson's Phalarope,Phalaropus tricolor,wilpha,WIPH
Wilson's Snipe,Gallinago delicata,wilsni1,WISN
Wilson's Warbler,Cardellina pusilla,wlswar,WIWA
Winter Wren,Troglodytes hiemalis,winwre3,WIWR
Wood Duck,Aix sponsa,wooduc,WODU
Wood Thrush,Hylocichla mustelina,woothr,WOTH
Yellow Rail,Coturnicops noveboracensis,yelrai,YERA
Yellow Warbler,,,
Yellow-bellied Flycatcher,Empidonax flaviventris,yebfly,YBFL
Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap,YBSA
Yellow-billed Cuckoo,Coccyzus americanus,yebcuc,YBCU
Yellow-breasted Chat,Icteria virens,yebcha,YBCH
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,yehbla,YHBL
Yellow-rumped Warbler,Setophaga coronata,yerwar,YRWA
Yellow-throated Vireo,Vireo flavifrons,yetvir,YTVI
Yellow-throated Warbler,Setophaga dominica,yetwar,YTWA
